canonical_product_id,asset_stem,completeness_percent,missing_fields,reason
CM-122135334339113602,122135334339113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122136704997113602,122136704997113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122109472665113602,122109472665113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122126981481113602,122126981481113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122130715923113602,122130715923113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122132067549113602,122132067549113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122135472717113602,122135472717113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122126114253113602,122126114253113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122137456431113602,122137456431113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122135948241113602,122135948241113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122136204561113602,122136204561113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122132714319113602,122132714319113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122132067573113602,122132067573113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122130926583113602,122130926583113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122106531987113602,122106531987113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122118096219113602,122118096219113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122117266827113602,122117266827113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122136704985113602,122136704985113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122112621633113602,122112621633113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122136704991113602,122136704991113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122114804085113602,122114804085113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122133917613113602,122133917613113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122135620155113602,122135620155113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122132067513113602,122132067513113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122138040687113602,122138040687113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122134357263113602,122134357263113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122128652367113602,122128652367113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122126114301113602,122126114301113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122130490935113602,122130490935113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122129332743113602,122129332743113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122132388495113602,122132388495113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122131498653113602,122131498653113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122105187231113602,122105187231113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122112621561113602,122112621561113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122116299459113602,122116299459113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122124020919113602,122124020919113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122124017763113602,122124017763113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122133059715113602,122133059715113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122128652325113602,122128652325113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122119062837113602,122119062837113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122128044069113602,122128044069113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122135948253113602,122135948253113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122136352317113602,122136352317113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122136352305113602,122136352305113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122124885069113602,122124885069113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122124809829113602,122124809829113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122133188793113602,122133188793113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122130926751113602,122130926751113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122136352299113602,122136352299113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122128446039113602,122128446039113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122131576653113602,122131576653113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122131576533113602,122131576533113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122130715791113602,122130715791113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122104615347113602,122104615347113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122134357329113602,122134357329113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122134357293113602,122134357293113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122137722369113602,122137722369113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122131380495113602,122131380495113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122124017937113602,122124017937113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122130926685113602,122130926685113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122130715809113602,122130715809113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122138187471113602,122138187471113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122136485979113602,122136485979113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122134357203113602,122134357203113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122135334255113602,122135334255113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122126981523113602,122126981523113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122098791063113602,122098791063113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122139298035113602,122139298035113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122135948259113602,122135948259113602,25.0,"english_name, description, category",Low data completeness - requires human review
CM-122127430305113602,122127430305113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122112621525113602,122112621525113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122104615473113602,122104615473113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
CM-122119649661113602,122119649661113602,0.0,"thai_name, english_name, description, category",Low data completeness - requires human review
